"","max","min","end_value","number_peaks","number_valleys","number_extrema","integral","d1_sum_unweight","d1_sum_weight_prime","d1_sum_weight_asc","d1_sum_weight_des","d1_sum_weight_end","d1_avg_unweight","d1_avg_weight_prime","d1_avg_weight_asc","d1_avg_weight_des","d1_avg_weight_end","d2_sum_unweight","d2_sum_weight_prime","d2_sum_weight_asc","d2_sum_weight_des","d2_sum_weight_end","d2_avg_unweight","d2_avg_weight_prime","d2_avg_weight_asc","d2_avg_weight_des","d2_avg_weight_end"
"linear_rise",99.9999130322103,0.0000869677897396485,100,0,0,0,4000,100,115,62.5,62.5,125,1.25,1.4375,0.78125,0.78125,1.5625,0,0,0,0,0,0,0,0,0,0
"linear_fall",99.9999130322103,0.0000869677897412657,0,0,0,0,4000,-100,-115,-62.5,-62.5,-125,-1.25,-1.4375,-0.78125,-0.78125,-1.5625,0,0,0,0,0,0,0,0,0,0
"linear_low",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"linear_middle",50,50,50,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"linear_high",100,100,100,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"exp_rise_convex",100.876762997539,0.00000263866605121343,100.877172664055,0,0,0,1665.36741267771,100.877172664055,103.709740352569,90.292825782258,35.8036400478108,170.687394723659,1.26096465830069,1.29637175440711,1.12866032227822,0.447545500597635,2.13359243404574,5.83040790504133,5.99412209930879,5.21866336363907,2.06934651766259,9.86523619968918,0.0728800988130166,0.0749265262413599,0.0652332920454884,0.0258668314707824,0.123315452496115
"exp_fall_convex",100.876762997539,0.00000256976651025198,0,0,0,0,1665.36741267771,-100.877172664055,-118.882915797322,-35.8036400478108,-90.292825782258,-103.054187339405,-1.26096465830069,-1.48603644746653,-0.447545500597635,-1.12866032227822,-1.28817734174256,5.83040790504133,6.87108761808161,2.06934651766259,5.21866336363907,5.95623303710386,0.0728800988130166,0.0858885952260202,0.0258668314707824,0.0652332920454884,0.0744529129637983
"exp_rise_concave",99.9999974302335,-0.876762997538762,100,0,0,0,6334.63258732229,100.877172664055,118.882915797322,35.8036400478108,90.292825782258,103.054187339405,1.26096465830069,1.48603644746653,0.447545500597635,1.12866032227822,1.28817734174256,-5.83040790504133,-6.87108761808161,-2.06934651766259,-5.21866336363907,-5.95623303710386,-0.0728800988130166,-0.0858885952260202,-0.0258668314707824,-0.0652332920454884,-0.0744529129637983
"exp_fall_concave",99.999997361334,-0.876762997538762,-0.877172664055024,0,0,0,6334.63258732229,-100.877172664055,-103.709740352569,-90.292825782258,-35.8036400478108,-170.687394723659,-1.26096465830069,-1.29637175440711,-1.12866032227822,-0.447545500597635,-2.13359243404574,-5.83040790504133,-5.99412209930879,-5.21866336363907,-2.06934651766259,-9.86523619968918,-0.0728800988130166,-0.0749265262413599,-0.0652332920454884,-0.0258668314707824,-0.123315452496115
"sin_fr_full",99.9999999999743,0,99.9661207865086,0,1,1,4023.29517558597,-0.0338792134913746,-43.2863254404857,49.7339535539736,-49.7763025708378,48.5518660003067,-0.000423490168642182,-0.541079068006072,0.62167441942467,-0.622203782135472,0.606898325003833,-0.145385190832016,1.00672117638031,-0.163226847524909,-0.0185046410151113,-4.23926479972006,-0.0018173148854002,0.0125840147047539,-0.00204033559406136,-0.000231308012688891,-0.0529908099965008
"sin_fr_partial",99.9999644141496,0,99.9999646581453,0,1,1,3149.94992349758,49.9999646581453,44.5746192700734,65.6178814186596,-3.11792559597801,80.9069580993186,0.624999558226816,0.557182740875917,0.820223517733245,-0.0389740699497251,1.01133697624148,2.94800095191785,4.96058918867995,-0.179020263929348,3.86402145382666,0.230134884635541,0.0368500118989731,0.0620073648584993,-0.00223775329911685,0.0483002681728333,0.00287668605794427
"sin_rf_full",100,0.0000000000256719090430124,0.0338792134913746,1,0,1,3976.70482441403,0.0338792134913746,43.2863254404858,-49.7339535539736,49.7763025708378,-48.5518660003067,0.000423490168642182,0.541079068006072,-0.62167441942467,0.622203782135472,-0.606898325003833,0.145385190832016,-1.00672117638031,0.163226847524909,0.0185046410151113,4.23926479972006,0.0018173148854002,-0.0125840147047539,0.00204033559406136,0.000231308012688891,0.0529908099965008
"sin_rf_partial",100,0.0000355858504406115,0.0000353418547121009,1,0,1,4850.05007650242,-49.9999646581453,-44.5746192700734,-65.6178814186596,3.11792559597801,-80.9069580993186,-0.624999558226816,-0.557182740875917,-0.820223517733245,0.0389740699497252,-1.01133697624148,-2.94800095191785,-4.96058918867995,0.179020263929348,-3.86402145382666,-0.230134884635541,-0.0368500118989731,-0.0620073648584993,0.00223775329911685,-0.0483002681728333,-0.00287668605794427
"sin_rfr_full",100,0,99.9237825311306,1,1,2,4023.28859795404,99.9237825311306,119.059048604469,62.2741490893225,62.6305790745907,183.708708586645,1.24904728163913,1.48823810755586,0.778426863616531,0.782882238432384,2.29635885733307,-0.327024314620116,-7.72032493273508,-0.969052638013536,0.56027224473839,-5.01353295070783,-0.00408780393275146,-0.0965040616591885,-0.0121131579751692,0.00700340305922987,-0.0626691618838479
"sin_rfr_partial",100,0.0000000000125695009955962,99.9998981549992,1,1,2,4510.19265002806,49.9998981549992,10.6824651490166,52.0676250823568,10.4322476113923,119.064018767106,0.624998726937491,0.133530814362707,0.65084531352946,0.130403095142403,1.48830023458882,-4.91991017045661,-8.77620920781928,-1.03476880395605,-5.11511890911471,-9.46890799248689,-0.0614988771307076,-0.109702615097741,-0.0129346100494506,-0.0639389863639339,-0.118361349906086
"sin_frf_full",100,0,0.0762174688694444,1,1,2,3976.71140204596,-99.9237825311306,-119.059048604469,-62.2741490893225,-62.6305790745907,-183.708708586645,-1.24904728163913,-1.48823810755586,-0.778426863616531,-0.782882238432384,-2.29635885733307,0.327024314620116,7.72032493273508,0.969052638013536,-0.56027224473839,5.01353295070783,0.00408780393275146,0.0965040616591885,0.0121131579751692,-0.00700340305922987,0.0626691618838479
"sin_frf_partial",99.9999999999874,0,0.000101845000749279,1,1,2,3489.80734997194,-49.9998981549993,-10.6824651490166,-52.0676250823568,-10.4322476113923,-119.064018767106,-0.624998726937491,-0.133530814362707,-0.65084531352946,-0.130403095142403,-1.48830023458882,4.91991017045661,8.77620920781928,1.03476880395605,5.11511890911471,9.46890799248689,0.0614988771307076,0.109702615097741,0.0129346100494506,0.0639389863639339,0.118361349906086
"sin_frfr",99.9999999999351,0.000000000000007105427357601,99.9995103275352,0,0,0,3637.97298108656,49.9995103275352,122.534617827527,57.4835712865512,5.0158166228678,146.129231167037,0.62499387909419,1.53168272284409,0.71854464108189,0.0626977077858474,1.82661538958797,6.84457332633215,5.25133676669394,0.6547005201247,7.90101613779049,4.16212958268028,0.0855571665791519,0.0656417095836742,0.00818375650155875,0.0987627017223811,0.0520266197835034
"sin_rfrf",100,0.0000000000648725517748971,0.000489672464823343,0,0,0,4362.02701891344,-49.9995103275352,-122.534617827527,-57.4835712865512,-5.0158166228678,-146.129231167037,-0.62499387909419,-1.53168272284409,-0.71854464108189,-0.0626977077858474,-1.82661538958797,-6.84457332633215,-5.25133676669394,-0.6547005201247,-7.90101613779049,-4.16212958268028,-0.0855571665791519,-0.0656417095836742,-0.00818375650155875,-0.0987627017223811,-0.0520266197835034
"logistic_rise",100,0.000000000000000424866071288279,100,1,2,3,4000,100,100.004539758976,62.5,62.5,100.000000206115,1.25,1.25005674698719,0.78125,0.78125,1.25000000257644,0,0.00453955287891426,-6.25000010305768,6.25000010305768,-0.00000020611536096935,0,0.0000567444109864282,-0.078125001288221,0.078125001288221,-0.00000000257644201211687
"logistic_fall",100,0.000000000000028421709430404,0,2,1,3,4000,-100,-100.004539758976,-62.5,-62.5,-100.000000206115,-1.25,-1.25005674698719,-0.78125,-0.78125,-1.25000000257644,0,-0.00453955287891426,6.25000010305768,-6.25000010305768,0.00000020611536096935,0,-0.0000567444109864282,0.078125001288221,-0.078125001288221,0.00000000257644201211687
"positive_change_full",99.999884042947,0.0000285084325568619,100,0,1,1,4000,0,-20,50,-50,100,0,-0.25,0.625,-0.625,1.25,0,0,0,0,0,0,0,0,0,0
"positive_change_partial",99.999884042947,0.0000525666745213963,50,0,1,1,3500,-50,-70,0,-62.5,0,-0.625,-0.875,0,-0.78125,0,0,0,0,0,0,0,0,0,0,0
"negative_change_full",99.9999163875066,0.000115957052986198,0,1,0,1,4000,0,20,-50,50,-100,0,0.25,-0.625,0.625,-1.25,0,0,0,0,0,0,0,0,0,0
"negative_change_partial",99.9999474333255,0.000115957052986198,50,1,0,1,4500,50,70,0,62.5,0,0.625,0.875,0,0.78125,0,0,0,0,0,0,0,0,0,0,0
"linear_rise_sharp_fall",49.999973125475,0,0,1,0,1,1000,50,65,18.75,43.75,50,0.625,0.8125,0.234375,0.546875,0.625,0,0,0,0,0,0,0,0,0,0
"linear_rise_sharp_fall_exp_rise",100.695143008587,0.521225339276835,100.69546338078,1,0,1,2302.63681588155,150.174272222894,165.174272222894,113.022834657893,74.6950056207239,226.742794185786,1.87717840278617,2.06467840278617,1.41278543322367,0.933687570259049,2.83428492732232,5.89373184098031,5.89373184098031,5.54652202639828,1.82064277482711,10.3986244236325,0.0736716480122539,0.0736716480122539,0.0693315253299785,0.0227580346853388,0.129982805295406
