"plot_names","words"
"linear_rise","action, actionpacked, active, basic, boring, buildup, captivating, confusing, dumb, exciting, fantastic, fast, formulaic, generic, incoherent, intense, intriguing, invigorating, loud, mind, nice, outdated, scientologist, scientology, serious, stupid, super, suspenseful, thrilling, tom, typical, uninteresting, wow"
"linear_fall","action, actionpacked, adventure, adventurous, alright, amazing, awesome, boring, cashgrab, cheesy, comedic, creative, cringe, dumb, energetic, epic, exciting, fantastic, fantasy, fun, game, gaming, indifferent, interesting, magical, mesmerizing, mythic, nice, okay, predictable, promising, quest, strange, super, thrilling, trite, violent, war"
"linear_low","adorable, adventure, amusing, animated, boring, cat, cats, childish, childrens, colorful, cute, fun, funny, good, hilarious, humorous, infantile, joyful, puss, silly, slapstick, strange, stylish, super, weird, well"
"linear_middle","amazing, beautiful, biographical, boring, captivating, content, drama, dramatic, electrifying, engaging, exciting, exploitative, good, iconic, informative, inspirational, inspiring, interesting, intrigue, mundane, music, musical, nostalgic, not, satisfying, singing, sluggish, thrilling, unrealistic, upbeat, uplifting, very, whitney"
"linear_high","assault, boring, clinical, compelling, cringeworthy, depressing, disturbing, drama, dramatic, evocative, factual, gripping, harvey, hate, hollywood, inspiring, intense, interesting, investigation, investigative, journalistic, like, mediocre, mysterious, nice, overproduced, powerful, quite, realistic, reality, shocking, strength, suspenseful, tedious, tense, thrilling, timely, traumatic, troubling, true, unoriginal, worth"
"exp_rise_convex","action, awesome, boring, cheezy, comedic, comic, comical, corny, engaging, entertaining, exciting, fantastic, fresh, fun, funny, good, great, hilarious, humorous, interesting, invigorating, mediocre, okay, quirky, shazam, silly, stupid, superhero, terrible, trite, uneasy, weird"
"exp_fall_convex","adoption, alright, bad, boring, chilling, confusing, countryside, creepy, diverse, enthralling, good, great, intense, intriguing, mystery, quite, repetitive, scary, spooky, suspence, suspense, suspenseful, suspensful, tense, thriller, thrilling, unsettling, weird"
"exp_rise_concave","adventurous, alien, amaaaaaziiiiinnnnng, amazing, animation, appealing, avatar, beautiful, boring, breathtaking, captivating, colorful, dated, different, dramatic, enjoyed, enthralling, excited, exciting, expensive, fantasy, good, gorgeous, intense, interesting, magical, new, nostaglic, novel, outdated, pleasure, pretty, slow, strange, uninteresting, vibrant"
"exp_fall_concave","action, actionpacked, active, basic, boring, buildup, captivating, confusing, dumb, exciting, fantastic, fast, formulaic, generic, incoherent, intense, intriguing, invigorating, loud, mind, nice, outdated, scientologist, scientology, serious, stupid, super, suspenseful, thrilling, tom, typical, uninteresting, wow"
"sin_fr_full","action, actionpacked, adventure, adventurous, alright, amazing, awesome, boring, cashgrab, cheesy, comedic, creative, cringe, dumb, energetic, epic, exciting, fantastic, fantasy, fun, game, gaming, indifferent, interesting, magical, mesmerizing, mythic, nice, okay, predictable, promising, quest, strange, super, thrilling, trite, violent, war"
"sin_fr_partial","adorable, adventure, amusing, animated, boring, cat, cats, childish, childrens, colorful, cute, fun, funny, good, hilarious, humorous, infantile, joyful, puss, silly, slapstick, strange, stylish, super, weird, well"
"sin_rf_full","amazing, beautiful, biographical, boring, captivating, content, drama, dramatic, electrifying, engaging, exciting, exploitative, good, iconic, informative, inspirational, inspiring, interesting, intrigue, mundane, music, musical, nostalgic, not, satisfying, singing, sluggish, thrilling, unrealistic, upbeat, uplifting, very, whitney"
"sin_rf_partial","assault, boring, clinical, compelling, cringeworthy, depressing, disturbing, drama, dramatic, evocative, factual, gripping, harvey, hate, hollywood, inspiring, intense, interesting, investigation, investigative, journalistic, like, mediocre, mysterious, nice, overproduced, powerful, quite, realistic, reality, shocking, strength, suspenseful, tedious, tense, thrilling, timely, traumatic, troubling, true, unoriginal, worth"
"sin_rfr_full","action, awesome, boring, cheezy, comedic, comic, comical, corny, engaging, entertaining, exciting, fantastic, fresh, fun, funny, good, great, hilarious, humorous, interesting, invigorating, mediocre, okay, quirky, shazam, silly, stupid, superhero, terrible, trite, uneasy, weird"
"sin_rfr_partial","adoption, alright, bad, boring, chilling, confusing, countryside, creepy, diverse, enthralling, good, great, intense, intriguing, mystery, quite, repetitive, scary, spooky, suspence, suspense, suspenseful, suspensful, tense, thriller, thrilling, unsettling, weird"
"sin_frf_full","adventurous, alien, amaaaaaziiiiinnnnng, amazing, animation, appealing, avatar, beautiful, boring, breathtaking, captivating, colorful, dated, different, dramatic, enjoyed, enthralling, excited, exciting, expensive, fantasy, good, gorgeous, intense, interesting, magical, new, nostaglic, novel, outdated, pleasure, pretty, slow, strange, uninteresting, vibrant"
"sin_frf_partial","action, actionpacked, active, basic, boring, buildup, captivating, confusing, dumb, exciting, fantastic, fast, formulaic, generic, incoherent, intense, intriguing, invigorating, loud, mind, nice, outdated, scientologist, scientology, serious, stupid, super, suspenseful, thrilling, tom, typical, uninteresting, wow"
"sin_frfr","action, actionpacked, adventure, adventurous, alright, amazing, awesome, boring, cashgrab, cheesy, comedic, creative, cringe, dumb, energetic, epic, exciting, fantastic, fantasy, fun, game, gaming, indifferent, interesting, magical, mesmerizing, mythic, nice, okay, predictable, promising, quest, strange, super, thrilling, trite, violent, war"
"sin_rfrf","adorable, adventure, amusing, animated, boring, cat, cats, childish, childrens, colorful, cute, fun, funny, good, hilarious, humorous, infantile, joyful, puss, silly, slapstick, strange, stylish, super, weird, well"
"logistic_rise","amazing, beautiful, biographical, boring, captivating, content, drama, dramatic, electrifying, engaging, exciting, exploitative, good, iconic, informative, inspirational, inspiring, interesting, intrigue, mundane, music, musical, nostalgic, not, satisfying, singing, sluggish, thrilling, unrealistic, upbeat, uplifting, very, whitney"
"logistic_fall","assault, boring, clinical, compelling, cringeworthy, depressing, disturbing, drama, dramatic, evocative, factual, gripping, harvey, hate, hollywood, inspiring, intense, interesting, investigation, investigative, journalistic, like, mediocre, mysterious, nice, overproduced, powerful, quite, realistic, reality, shocking, strength, suspenseful, tedious, tense, thrilling, timely, traumatic, troubling, true, unoriginal, worth"
"positive_change_full","action, awesome, boring, cheezy, comedic, comic, comical, corny, engaging, entertaining, exciting, fantastic, fresh, fun, funny, good, great, hilarious, humorous, interesting, invigorating, mediocre, okay, quirky, shazam, silly, stupid, superhero, terrible, trite, uneasy, weird"
"positive_change_partial","adoption, alright, bad, boring, chilling, confusing, countryside, creepy, diverse, enthralling, good, great, intense, intriguing, mystery, quite, repetitive, scary, spooky, suspence, suspense, suspenseful, suspensful, tense, thriller, thrilling, unsettling, weird"
"negative_change_full","adventurous, alien, amaaaaaziiiiinnnnng, amazing, animation, appealing, avatar, beautiful, boring, breathtaking, captivating, colorful, dated, different, dramatic, enjoyed, enthralling, excited, exciting, expensive, fantasy, good, gorgeous, intense, interesting, magical, new, nostaglic, novel, outdated, pleasure, pretty, slow, strange, uninteresting, vibrant"
"negative_change_partial","action, actionpacked, active, basic, boring, buildup, captivating, confusing, dumb, exciting, fantastic, fast, formulaic, generic, incoherent, intense, intriguing, invigorating, loud, mind, nice, outdated, scientologist, scientology, serious, stupid, super, suspenseful, thrilling, tom, typical, uninteresting, wow"
"linear_rise_sharp_fall","action, actionpacked, adventure, adventurous, alright, amazing, awesome, boring, cashgrab, cheesy, comedic, creative, cringe, dumb, energetic, epic, exciting, fantastic, fantasy, fun, game, gaming, indifferent, interesting, magical, mesmerizing, mythic, nice, okay, predictable, promising, quest, strange, super, thrilling, trite, violent, war"
"linear_rise_sharp_fall_exp_rise","adorable, adventure, amusing, animated, boring, cat, cats, childish, childrens, colorful, cute, fun, funny, good, hilarious, humorous, infantile, joyful, puss, silly, slapstick, strange, stylish, super, weird, well"
